bikeid,Left ,Right
SEA00290,SEA,00290
SEA00316,SEA,00316
SEA00362,SEA,00362
SEA00318,SEA,00318
SEA00240,SEA,00240
SEA00124,SEA,00124
SEA00361,SEA,00361
SEA00459,SEA,00459
SEA00354,SEA,00354
SEA00161,SEA,00161
SEA00489,SEA,00489
SEA00289,SEA,00289
SEA00329,SEA,00329
SEA00226,SEA,00226
SEA00064,SEA,00064
SEA00064,SEA,00064
SEA00035,SEA,00035
SEA00151,SEA,00151
SEA00096,SEA,00096
SEA00035,SEA,00035
SEA00213,SEA,00213
SEA00485,SEA,00485
SEA00354,SEA,00354
SEA00403,SEA,00403
SEA00430,SEA,00430
SEA00266,SEA,00266
SEA00328,SEA,00328
SEA00300,SEA,00300
SEA00254,SEA,00254
SEA00059,SEA,00059
SEA00239,SEA,00239
SEA00233,SEA,00233
SEA00462,SEA,00462
SEA00275,SEA,00275
SEA00485,SEA,00485
SEA00136,SEA,00136
SEA00084,SEA,00084
SEA00030,SEA,00030
SEA00029,SEA,00029
SEA00024,SEA,00024
SEA00247,SEA,00247
SEA00062,SEA,00062
SEA00065,SEA,00065
SEA00160,SEA,00160
SEA00452,SEA,00452
SEA00132,SEA,00132
SEA00253,SEA,00253
SEA00243,SEA,00243
SEA00368,SEA,00368
SEA00462,SEA,00462
SEA00073,SEA,00073
SEA00221,SEA,00221
SEA00300,SEA,00300
SEA00492,SEA,00492
SEA00204,SEA,00204
SEA00024,SEA,00024
SEA00054,SEA,00054
SEA00292,SEA,00292
SEA00437,SEA,00437
SEA00351,SEA,00351
SEA00233,SEA,00233
SEA00101,SEA,00101
SEA00333,SEA,00333
SEA00467,SEA,00467
SEA00056,SEA,00056
SEA00177,SEA,00177
SEA00374,SEA,00374
SEA00431,SEA,00431
SEA00327,SEA,00327
SEA00055,SEA,00055
SEA00266,SEA,00266
SEA00383,SEA,00383
SEA00476,SEA,00476
SEA00296,SEA,00296
SEA00166,SEA,00166
SEA00379,SEA,00379
SEA00228,SEA,00228
SEA00481,SEA,00481
SEA00277,SEA,00277
SEA00140,SEA,00140
SEA00370,SEA,00370
SEA00156,SEA,00156
SEA00160,SEA,00160
SEA00246,SEA,00246
SEA00133,SEA,00133
SEA00398,SEA,00398
SEA00147,SEA,00147
SEA00061,SEA,00061
SEA00414,SEA,00414
SEA00411,SEA,00411
SEA00285,SEA,00285
SEA00255,SEA,00255
SEA00361,SEA,00361
SEA00135,SEA,00135
SEA00360,SEA,00360
SEA00482,SEA,00482
SEA00239,SEA,00239
SEA00382,SEA,00382
SEA00437,SEA,00437
SEA00046,SEA,00046
SEA00460,SEA,00460
SEA00175,SEA,00175
SEA00277,SEA,00277
SEA00293,SEA,00293
SEA00167,SEA,00167
SEA00427,SEA,00427
SEA00072,SEA,00072
SEA00442,SEA,00442
SEA00390,SEA,00390
SEA00308,SEA,00308
SEA00241,SEA,00241
SEA00026,SEA,00026
SEA00346,SEA,00346
SEA00461,SEA,00461
SEA00259,SEA,00259
SEA00495,SEA,00495
SEA00224,SEA,00224
SEA00341,SEA,00341
SEA00478,SEA,00478
SEA00147,SEA,00147
SEA00186,SEA,00186
SEA00476,SEA,00476
SEA00261,SEA,00261
SEA00475,SEA,00475
SEA00030,SEA,00030
SEA00481,SEA,00481
SEA00041,SEA,00041
SEA00218,SEA,00218
SEA00031,SEA,00031
SEA00026,SEA,00026
SEA00280,SEA,00280
SEA00184,SEA,00184
SEA00090,SEA,00090
SEA00482,SEA,00482
SEA00203,SEA,00203
SEA00273,SEA,00273
SEA00465,SEA,00465
SEA00117,SEA,00117
SEA00281,SEA,00281
SEA00382,SEA,00382
SEA00166,SEA,00166
SEA00241,SEA,00241
SEA00491,SEA,00491
SEA00257,SEA,00257
SEA00431,SEA,00431
SEA00418,SEA,00418
SEA00208,SEA,00208
SEA00327,SEA,00327
SEA00051,SEA,00051
SEA00207,SEA,00207
SEA00133,SEA,00133
SEA00131,SEA,00131
SEA00351,SEA,00351
SEA00246,SEA,00246
SEA00252,SEA,00252
SEA00087,SEA,00087
SEA00498,SEA,00498
SEA00326,SEA,00326
SEA00026,SEA,00026
SEA00110,SEA,00110
SEA00091,SEA,00091
SEA00341,SEA,00341
SEA00416,SEA,00416
SEA00181,SEA,00181
SEA00310,SEA,00310
SEA00285,SEA,00285
SEA00032,SEA,00032
SEA00471,SEA,00471
SEA00498,SEA,00498
SEA00234,SEA,00234
SEA00178,SEA,00178
SEA00047,SEA,00047
SEA00192,SEA,00192
SEA00182,SEA,00182
SEA00122,SEA,00122
SEA00100,SEA,00100
SEA00113,SEA,00113
SEA00428,SEA,00428
SEA00278,SEA,00278
SEA00492,SEA,00492
SEA00433,SEA,00433
SEA00224,SEA,00224
SEA00201,SEA,00201
SEA00393,SEA,00393
SEA00462,SEA,00462
SEA00306,SEA,00306
SEA00288,SEA,00288
SEA00084,SEA,00084
SEA00405,SEA,00405
SEA00423,SEA,00423
SEA00309,SEA,00309
SEA00156,SEA,00156
SEA00499,SEA,00499
SEA00487,SEA,00487
SEA00380,SEA,00380
SEA00202,SEA,00202
SEA00255,SEA,00255
SEA00036,SEA,00036
SEA00346,SEA,00346
SEA00416,SEA,00416
SEA00433,SEA,00433
SEA00497,SEA,00497
SEA00387,SEA,00387
SEA00310,SEA,00310
SEA00293,SEA,00293
SEA00033,SEA,00033
SEA00338,SEA,00338
SEA00303,SEA,00303
SEA00036,SEA,00036
SEA00045,SEA,00045
SEA00062,SEA,00062
SEA00068,SEA,00068
SEA00408,SEA,00408
SEA00322,SEA,00322
SEA00396,SEA,00396
SEA00096,SEA,00096
SEA00160,SEA,00160
SEA00268,SEA,00268
SEA00110,SEA,00110
SEA00251,SEA,00251
SEA00198,SEA,00198
SEA00097,SEA,00097
SEA00140,SEA,00140
SEA00497,SEA,00497
SEA00119,SEA,00119
SEA00221,SEA,00221
SEA00327,SEA,00327
SEA00101,SEA,00101
SEA00408,SEA,00408
SEA00066,SEA,00066
SEA00216,SEA,00216
SEA00210,SEA,00210
SEA00151,SEA,00151
SEA00273,SEA,00273
SEA00380,SEA,00380
SEA00173,SEA,00173
SEA00158,SEA,00158
SEA00116,SEA,00116
SEA00104,SEA,00104
SEA00425,SEA,00425
SEA00301,SEA,00301
SEA00134,SEA,00134
SEA00300,SEA,00300
SEA00412,SEA,00412
SEA00186,SEA,00186
SEA00406,SEA,00406
SEA00333,SEA,00333
SEA00227,SEA,00227
SEA00021,SEA,00021
SEA00078,SEA,00078
SEA00360,SEA,00360
SEA00233,SEA,00233
SEA00327,SEA,00327
SEA00312,SEA,00312
SEA00365,SEA,00365
SEA00336,SEA,00336
SEA00323,SEA,00323
SEA00097,SEA,00097
SEA00054,SEA,00054
SEA00104,SEA,00104
SEA00215,SEA,00215
SEA00389,SEA,00389
SEA00133,SEA,00133
SEA00189,SEA,00189
SEA00253,SEA,00253
SEA00303,SEA,00303
SEA00317,SEA,00317
SEA00421,SEA,00421
SEA00159,SEA,00159
SEA00435,SEA,00435
SEA00156,SEA,00156
SEA00466,SEA,00466
SEA00174,SEA,00174
SEA00486,SEA,00486
SEA00194,SEA,00194
SEA00051,SEA,00051
SEA00445,SEA,00445
SEA00105,SEA,00105
SEA00155,SEA,00155
SEA00272,SEA,00272
SEA00484,SEA,00484
SEA00309,SEA,00309
SEA00381,SEA,00381
SEA00172,SEA,00172
SEA00360,SEA,00360
SEA00469,SEA,00469
SEA00286,SEA,00286
SEA00036,SEA,00036
SEA00416,SEA,00416
SEA00233,SEA,00233
SEA00312,SEA,00312
SEA00381,SEA,00381
SEA00195,SEA,00195
SEA00436,SEA,00436
SEA00453,SEA,00453
SEA00151,SEA,00151
SEA00236,SEA,00236
SEA00457,SEA,00457
SEA00483,SEA,00483
SEA00171,SEA,00171
SEA00145,SEA,00145
SEA00035,SEA,00035
SEA00100,SEA,00100
SEA00068,SEA,00068
SEA00256,SEA,00256
SEA00140,SEA,00140
SEA00102,SEA,00102
SEA00474,SEA,00474
SEA00156,SEA,00156
SEA00103,SEA,00103
SEA00037,SEA,00037
SEA00040,SEA,00040
SEA00392,SEA,00392
SEA00420,SEA,00420
SEA00070,SEA,00070
SEA00044,SEA,00044
SEA00113,SEA,00113
SEA00309,SEA,00309
SEA00286,SEA,00286
SEA00064,SEA,00064
SEA00297,SEA,00297
SEA00276,SEA,00276
SEA00293,SEA,00293
SEA00150,SEA,00150
SEA00034,SEA,00034
SEA00212,SEA,00212
SEA00413,SEA,00413
SEA00308,SEA,00308
SEA00064,SEA,00064
SEA00498,SEA,00498
SEA00147,SEA,00147
SEA00207,SEA,00207
SEA00279,SEA,00279
SEA00194,SEA,00194
SEA00280,SEA,00280
SEA00466,SEA,00466
SEA00474,SEA,00474
SEA00437,SEA,00437
SEA00302,SEA,00302
SEA00201,SEA,00201
SEA00470,SEA,00470
SEA00470,SEA,00470
SEA00143,SEA,00143
SEA00481,SEA,00481
SEA00070,SEA,00070
SEA00383,SEA,00383
SEA00119,SEA,00119
SEA00241,SEA,00241
SEA00374,SEA,00374
SEA00369,SEA,00369
SEA00069,SEA,00069
SEA00486,SEA,00486
SEA00354,SEA,00354
SEA00160,SEA,00160
SEA00456,SEA,00456
SEA00171,SEA,00171
SEA00497,SEA,00497
SEA00373,SEA,00373
SEA00456,SEA,00456
SEA00096,SEA,00096
SEA00433,SEA,00433
SEA00369,SEA,00369
SEA00087,SEA,00087
SEA00457,SEA,00457
SEA00282,SEA,00282
SEA00440,SEA,00440
SEA00150,SEA,00150
SEA00266,SEA,00266
SEA00415,SEA,00415
SEA00418,SEA,00418
SEA00290,SEA,00290
SEA00349,SEA,00349
SEA00373,SEA,00373
SEA00432,SEA,00432
SEA00138,SEA,00138
SEA00284,SEA,00284
SEA00440,SEA,00440
SEA00424,SEA,00424
SEA00214,SEA,00214
SEA00205,SEA,00205
SEA00234,SEA,00234
SEA00127,SEA,00127
SEA00185,SEA,00185
SEA00238,SEA,00238
SEA00082,SEA,00082
SEA00496,SEA,00496
SEA00467,SEA,00467
SEA00177,SEA,00177
SEA00332,SEA,00332
SEA00145,SEA,00145
SEA00198,SEA,00198
SEA00453,SEA,00453
SEA00416,SEA,00416
SEA00247,SEA,00247
SEA00233,SEA,00233
SEA00311,SEA,00311
SEA00408,SEA,00408
SEA00301,SEA,00301
SEA00438,SEA,00438
SEA00067,SEA,00067
SEA00470,SEA,00470
SEA00395,SEA,00395
SEA00029,SEA,00029
SEA00477,SEA,00477
SEA00075,SEA,00075
SEA00497,SEA,00497
SEA00497,SEA,00497
SEA00205,SEA,00205
SEA00348,SEA,00348
SEA00479,SEA,00479
SEA00470,SEA,00470
SEA00268,SEA,00268
SEA00267,SEA,00267
SEA00068,SEA,00068
SEA00358,SEA,00358
SEA00021,SEA,00021
SEA00132,SEA,00132
SEA00065,SEA,00065
SEA00447,SEA,00447
SEA00457,SEA,00457
SEA00400,SEA,00400
SEA00121,SEA,00121
SEA00326,SEA,00326
SEA00084,SEA,00084
SEA00222,SEA,00222
SEA00125,SEA,00125
SEA00447,SEA,00447
SEA00230,SEA,00230
SEA00450,SEA,00450
SEA00303,SEA,00303
SEA00350,SEA,00350
SEA00143,SEA,00143
SEA00351,SEA,00351
SEA00127,SEA,00127
SEA00324,SEA,00324
SEA00429,SEA,00429
SEA00243,SEA,00243
SEA00118,SEA,00118
SEA00487,SEA,00487
SEA00062,SEA,00062
SEA00440,SEA,00440
SEA00323,SEA,00323
SEA00199,SEA,00199
SEA00069,SEA,00069
SEA00270,SEA,00270
SEA00028,SEA,00028
SEA00478,SEA,00478
SEA00059,SEA,00059
SEA00101,SEA,00101
SEA00132,SEA,00132
SEA00360,SEA,00360
SEA00396,SEA,00396
SEA00068,SEA,00068
SEA00429,SEA,00429
SEA00198,SEA,00198
SEA00347,SEA,00347
SEA00374,SEA,00374
SEA00116,SEA,00116
SEA00410,SEA,00410
SEA00301,SEA,00301
SEA00279,SEA,00279
SEA00328,SEA,00328
SEA00056,SEA,00056
SEA00230,SEA,00230
SEA00188,SEA,00188
SEA00024,SEA,00024
SEA00059,SEA,00059
SEA00489,SEA,00489
SEA00394,SEA,00394
SEA00038,SEA,00038
SEA00458,SEA,00458
SEA00461,SEA,00461
SEA00142,SEA,00142
SEA00203,SEA,00203
SEA00361,SEA,00361
SEA00153,SEA,00153
SEA00286,SEA,00286
SEA00035,SEA,00035
SEA00034,SEA,00034
SEA00100,SEA,00100
SEA00195,SEA,00195
SEA00106,SEA,00106
SEA00439,SEA,00439
SEA00115,SEA,00115
SEA00277,SEA,00277
SEA00262,SEA,00262
SEA00181,SEA,00181
SEA00125,SEA,00125
SEA00154,SEA,00154
SEA00369,SEA,00369
SEA00092,SEA,00092
SEA00089,SEA,00089
SEA00237,SEA,00237
SEA00195,SEA,00195
SEA00444,SEA,00444
SEA00370,SEA,00370
SEA00264,SEA,00264
SEA00420,SEA,00420
SEA00219,SEA,00219
SEA00478,SEA,00478
SEA00232,SEA,00232
SEA00286,SEA,00286
SEA00454,SEA,00454
SEA00148,SEA,00148
SEA00403,SEA,00403
SEA00474,SEA,00474
SEA00141,SEA,00141
SEA00068,SEA,00068
SEA00029,SEA,00029
SEA00336,SEA,00336
SEA00360,SEA,00360
SEA00407,SEA,00407
SEA00281,SEA,00281
SEA00021,SEA,00021
SEA00037,SEA,00037
SEA00101,SEA,00101
SEA00368,SEA,00368
SEA00428,SEA,00428
SEA00474,SEA,00474
SEA00114,SEA,00114
SEA00349,SEA,00349
SEA00322,SEA,00322
SEA00328,SEA,00328
SEA00141,SEA,00141
SEA00473,SEA,00473
SEA00443,SEA,00443
SEA00345,SEA,00345
SEA00281,SEA,00281
SEA00111,SEA,00111
SEA00289,SEA,00289
SEA00456,SEA,00456
SEA00106,SEA,00106
SEA00280,SEA,00280
SEA00430,SEA,00430
SEA00093,SEA,00093
SEA00046,SEA,00046
SEA00422,SEA,00422
SEA00459,SEA,00459
SEA00064,SEA,00064
SEA00420,SEA,00420
SEA00488,SEA,00488
SEA00491,SEA,00491
SEA00105,SEA,00105
SEA00256,SEA,00256
SEA00079,SEA,00079
SEA00433,SEA,00433
SEA00263,SEA,00263
SEA00320,SEA,00320
SEA00436,SEA,00436
SEA00433,SEA,00433
SEA00306,SEA,00306
SEA00131,SEA,00131
SEA00430,SEA,00430
SEA00337,SEA,00337
SEA00330,SEA,00330
SEA00228,SEA,00228
SEA00283,SEA,00283
SEA00294,SEA,00294
SEA00356,SEA,00356
SEA00449,SEA,00449
SEA00436,SEA,00436
SEA00192,SEA,00192
SEA00296,SEA,00296
SEA00051,SEA,00051
SEA00390,SEA,00390
SEA00230,SEA,00230
SEA00497,SEA,00497
SEA00448,SEA,00448
SEA00350,SEA,00350
SEA00237,SEA,00237
SEA00180,SEA,00180
SEA00337,SEA,00337
SEA00255,SEA,00255
SEA00183,SEA,00183
SEA00118,SEA,00118
SEA00423,SEA,00423
SEA00241,SEA,00241
SEA00256,SEA,00256
SEA00201,SEA,00201
SEA00262,SEA,00262
SEA00321,SEA,00321
SEA00252,SEA,00252
SEA00217,SEA,00217
SEA00150,SEA,00150
SEA00454,SEA,00454
SEA00354,SEA,00354
SEA00116,SEA,00116
SEA00401,SEA,00401
SEA00149,SEA,00149
SEA00182,SEA,00182
SEA00443,SEA,00443
SEA00485,SEA,00485
SEA00214,SEA,00214
SEA00398,SEA,00398
SEA00422,SEA,00422
SEA00078,SEA,00078
SEA00153,SEA,00153
SEA00281,SEA,00281
SEA00154,SEA,00154
SEA00290,SEA,00290
SEA00136,SEA,00136
SEA00442,SEA,00442
SEA00128,SEA,00128
SEA00465,SEA,00465
SEA00497,SEA,00497
SEA00397,SEA,00397
SEA00153,SEA,00153
SEA00166,SEA,00166
SEA00287,SEA,00287
SEA00361,SEA,00361
SEA00404,SEA,00404
SEA00229,SEA,00229
SEA00342,SEA,00342
SEA00239,SEA,00239
SEA00481,SEA,00481
SEA00178,SEA,00178
SEA00265,SEA,00265
SEA00321,SEA,00321
SEA00482,SEA,00482
SEA00361,SEA,00361
SEA00420,SEA,00420
SEA00293,SEA,00293
SEA00247,SEA,00247
SEA00126,SEA,00126
SEA00451,SEA,00451
SEA00173,SEA,00173
SEA00299,SEA,00299
SEA00272,SEA,00272
SEA00264,SEA,00264
SEA00403,SEA,00403
SEA00324,SEA,00324
SEA00129,SEA,00129
SEA00435,SEA,00435
SEA00248,SEA,00248
SEA00311,SEA,00311
SEA00257,SEA,00257
SEA00303,SEA,00303
SEA00115,SEA,00115
SEA00042,SEA,00042
SEA00177,SEA,00177
SEA00380,SEA,00380
SEA00207,SEA,00207
SEA00219,SEA,00219
SEA00022,SEA,00022
SEA00244,SEA,00244
SEA00440,SEA,00440
SEA00250,SEA,00250
SEA00216,SEA,00216
SEA00287,SEA,00287
SEA00263,SEA,00263
SEA00267,SEA,00267
SEA00495,SEA,00495
SEA00457,SEA,00457
SEA00498,SEA,00498
SEA00309,SEA,00309
SEA00319,SEA,00319
SEA00437,SEA,00437
SEA00048,SEA,00048
SEA00256,SEA,00256
SEA00390,SEA,00390
SEA00448,SEA,00448
SEA00205,SEA,00205
SEA00035,SEA,00035
SEA00474,SEA,00474
SEA00237,SEA,00237
SEA00166,SEA,00166
SEA00095,SEA,00095
SEA00057,SEA,00057
SEA00242,SEA,00242
SEA00256,SEA,00256
SEA00101,SEA,00101
SEA00273,SEA,00273
SEA00357,SEA,00357
SEA00028,SEA,00028
SEA00482,SEA,00482
SEA00208,SEA,00208
SEA00080,SEA,00080
SEA00326,SEA,00326
SEA00187,SEA,00187
SEA00209,SEA,00209
SEA00384,SEA,00384
SEA00242,SEA,00242
SEA00075,SEA,00075
SEA00183,SEA,00183
SEA00438,SEA,00438
SEA00079,SEA,00079
SEA00134,SEA,00134
SEA00220,SEA,00220
SEA00174,SEA,00174
SEA00419,SEA,00419
SEA00024,SEA,00024
SEA00479,SEA,00479
SEA00246,SEA,00246
SEA00231,SEA,00231
SEA00306,SEA,00306
SEA00425,SEA,00425
SEA00279,SEA,00279
SEA00060,SEA,00060
SEA00197,SEA,00197
SEA00231,SEA,00231
SEA00132,SEA,00132
SEA00409,SEA,00409
SEA00115,SEA,00115
SEA00099,SEA,00099
SEA00333,SEA,00333
SEA00369,SEA,00369
SEA00093,SEA,00093
SEA00345,SEA,00345
SEA00454,SEA,00454
SEA00133,SEA,00133
SEA00197,SEA,00197
SEA00273,SEA,00273
SEA00318,SEA,00318
SEA00212,SEA,00212
SEA00177,SEA,00177
SEA00175,SEA,00175
SEA00045,SEA,00045
SEA00278,SEA,00278
SEA00066,SEA,00066
SEA00265,SEA,00265
SEA00322,SEA,00322
SEA00402,SEA,00402
SEA00373,SEA,00373
SEA00037,SEA,00037
SEA00444,SEA,00444
SEA00453,SEA,00453
SEA00027,SEA,00027
SEA00238,SEA,00238
SEA00286,SEA,00286
SEA00255,SEA,00255
SEA00409,SEA,00409
SEA00418,SEA,00418
SEA00463,SEA,00463
SEA00238,SEA,00238
SEA00375,SEA,00375
SEA00105,SEA,00105
SEA00399,SEA,00399
SEA00322,SEA,00322
SEA00263,SEA,00263
SEA00491,SEA,00491
SEA00461,SEA,00461
SEA00385,SEA,00385
SEA00051,SEA,00051
SEA00023,SEA,00023
SEA00142,SEA,00142
SEA00127,SEA,00127
SEA00096,SEA,00096
SEA00249,SEA,00249
SEA00079,SEA,00079
SEA00478,SEA,00478
SEA00326,SEA,00326
SEA00467,SEA,00467
SEA00488,SEA,00488
SEA00451,SEA,00451
SEA00280,SEA,00280
SEA00355,SEA,00355
SEA00157,SEA,00157
SEA00095,SEA,00095
SEA00152,SEA,00152
SEA00447,SEA,00447
SEA00295,SEA,00295
SEA00349,SEA,00349
SEA00393,SEA,00393
SEA00417,SEA,00417
SEA00293,SEA,00293
SEA00293,SEA,00293
SEA00231,SEA,00231
SEA00419,SEA,00419
SEA00270,SEA,00270
SEA00381,SEA,00381
SEA00305,SEA,00305
SEA00063,SEA,00063
SEA00334,SEA,00334
SEA00084,SEA,00084
SEA00266,SEA,00266
SEA00472,SEA,00472
SEA00206,SEA,00206
SEA00369,SEA,00369
SEA00432,SEA,00432
SEA00180,SEA,00180
SEA00178,SEA,00178
SEA00447,SEA,00447
SEA00488,SEA,00488
SEA00235,SEA,00235
SEA00309,SEA,00309
SEA00375,SEA,00375
SEA00484,SEA,00484
SEA00269,SEA,00269
SEA00353,SEA,00353
SEA00063,SEA,00063
SEA00492,SEA,00492
SEA00241,SEA,00241
SEA00373,SEA,00373
SEA00290,SEA,00290
SEA00316,SEA,00316
SEA00443,SEA,00443
SEA00425,SEA,00425
SEA00131,SEA,00131
SEA00091,SEA,00091
SEA00500,SEA,00500
SEA00310,SEA,00310
SEA00199,SEA,00199
SEA00193,SEA,00193
SEA00102,SEA,00102
SEA00387,SEA,00387
SEA00024,SEA,00024
SEA00351,SEA,00351
SEA00361,SEA,00361
SEA00067,SEA,00067
SEA00342,SEA,00342
SEA00147,SEA,00147
SEA00035,SEA,00035
SEA00250,SEA,00250
SEA00241,SEA,00241
SEA00223,SEA,00223
SEA00419,SEA,00419
SEA00150,SEA,00150
SEA00249,SEA,00249
SEA00268,SEA,00268
SEA00150,SEA,00150
SEA00230,SEA,00230
SEA00431,SEA,00431
SEA00462,SEA,00462
SEA00306,SEA,00306
SEA00097,SEA,00097
SEA00236,SEA,00236
SEA00392,SEA,00392
SEA00198,SEA,00198
SEA00395,SEA,00395
SEA00085,SEA,00085
SEA00185,SEA,00185
SEA00160,SEA,00160
SEA00257,SEA,00257
SEA00271,SEA,00271
SEA00473,SEA,00473
SEA00362,SEA,00362
SEA00115,SEA,00115
SEA00136,SEA,00136
SEA00341,SEA,00341
SEA00451,SEA,00451
SEA00090,SEA,00090
SEA00369,SEA,00369
SEA00240,SEA,00240
SEA00401,SEA,00401
SEA00474,SEA,00474
SEA00431,SEA,00431
SEA00386,SEA,00386
SEA00373,SEA,00373
SEA00419,SEA,00419
SEA00205,SEA,00205
SEA00369,SEA,00369
SEA00044,SEA,00044
SEA00232,SEA,00232
SEA00245,SEA,00245
SEA00277,SEA,00277
SEA00084,SEA,00084
SEA00039,SEA,00039
SEA00025,SEA,00025
SEA00301,SEA,00301
SEA00170,SEA,00170
SEA00042,SEA,00042
SEA00467,SEA,00467
SEA00098,SEA,00098
SEA00172,SEA,00172
SEA00086,SEA,00086
SEA00412,SEA,00412
SEA00390,SEA,00390
SEA00154,SEA,00154
SEA00159,SEA,00159
SEA00102,SEA,00102
SEA00271,SEA,00271
SEA00384,SEA,00384
SEA00297,SEA,00297
SEA00379,SEA,00379
SEA00485,SEA,00485
SEA00105,SEA,00105
SEA00205,SEA,00205
SEA00088,SEA,00088
SEA00261,SEA,00261
SEA00261,SEA,00261
SEA00262,SEA,00262
SEA00221,SEA,00221
SEA00087,SEA,00087
SEA00212,SEA,00212
SEA00424,SEA,00424
SEA00176,SEA,00176
SEA00344,SEA,00344
SEA00407,SEA,00407
SEA00029,SEA,00029
SEA00075,SEA,00075
SEA00133,SEA,00133
SEA00444,SEA,00444
SEA00349,SEA,00349
SEA00021,SEA,00021
SEA00312,SEA,00312
SEA00285,SEA,00285
SEA00136,SEA,00136
SEA00459,SEA,00459
SEA00334,SEA,00334
SEA00172,SEA,00172
SEA00112,SEA,00112
SEA00356,SEA,00356
SEA00128,SEA,00128
SEA00455,SEA,00455
SEA00237,SEA,00237
SEA00141,SEA,00141
SEA00473,SEA,00473
SEA00299,SEA,00299
SEA00425,SEA,00425
SEA00178,SEA,00178
SEA00197,SEA,00197
SEA00390,SEA,00390
SEA00153,SEA,00153
SEA00198,SEA,00198
SEA00107,SEA,00107
SEA00131,SEA,00131
SEA00487,SEA,00487
SEA00212,SEA,00212
SEA00385,SEA,00385
SEA00345,SEA,00345
SEA00330,SEA,00330
SEA00095,SEA,00095
SEA00030,SEA,00030
SEA00295,SEA,00295
SEA00451,SEA,00451
SEA00112,SEA,00112
SEA00141,SEA,00141
SEA00252,SEA,00252
SEA00446,SEA,00446
SEA00293,SEA,00293
SEA00194,SEA,00194
SEA00070,SEA,00070
SEA00253,SEA,00253
SEA00029,SEA,00029
SEA00119,SEA,00119
SEA00356,SEA,00356
SEA00115,SEA,00115
SEA00452,SEA,00452
SEA00443,SEA,00443
SEA00454,SEA,00454
SEA00253,SEA,00253
SEA00021,SEA,00021
SEA00478,SEA,00478
SEA00098,SEA,00098
SEA00084,SEA,00084
SEA00177,SEA,00177
SEA00181,SEA,00181
SEA00189,SEA,00189
SEA00492,SEA,00492
SEA00040,SEA,00040
SEA00148,SEA,00148
SEA00399,SEA,00399
SEA00452,SEA,00452
SEA00390,SEA,00390
SEA00233,SEA,00233
SEA00397,SEA,00397
SEA00329,SEA,00329
SEA00346,SEA,00346
SEA00105,SEA,00105
SEA00180,SEA,00180
SEA00283,SEA,00283
SEA00230,SEA,00230
SEA00029,SEA,00029
SEA00102,SEA,00102
SEA00180,SEA,00180
SEA00069,SEA,00069
SEA00128,SEA,00128
SEA00194,SEA,00194
SEA00289,SEA,00289
SEA00045,SEA,00045
SEA00495,SEA,00495
SEA00460,SEA,00460
SEA00385,SEA,00385
SEA00358,SEA,00358
SEA00295,SEA,00295
SEA00413,SEA,00413
SEA00208,SEA,00208
SEA00414,SEA,00414
SEA00363,SEA,00363
SEA00029,SEA,00029
SEA00297,SEA,00297
SEA00316,SEA,00316
SEA00354,SEA,00354
SEA00084,SEA,00084
SEA00145,SEA,00145
SEA00341,SEA,00341
SEA00072,SEA,00072
SEA00420,SEA,00420
SEA00456,SEA,00456
SEA00137,SEA,00137
SEA00064,SEA,00064
SEA00228,SEA,00228
SEA00320,SEA,00320
SEA00418,SEA,00418
SEA00288,SEA,00288
SEA00372,SEA,00372
SEA00442,SEA,00442
SEA00430,SEA,00430
SEA00358,SEA,00358
SEA00485,SEA,00485
